,Route,Load,distance
0,"[0, 35, 0]",36,4206.126
0,"[0, 159, 0]",39,2369.804
0,"[0, 187, 0]",28,850.081
0,"[0, 188, 0]",26,1099.835
0,"[0, 803, 805, 807, 802, 0]",40,8013.867000000001
0,"[0, 318, 315, 314, 310, 309, 313, 312, 311, 299, 304, 307, 305, 292, 291, 294, 288, 289, 290, 301, 302, 293, 296, 0]",40,11371.487999999998
0,"[0, 332, 323, 326, 297, 441, 298, 295, 0]",39,8094.998
0,"[0, 576, 652, 575, 0]",38,6594.075000000001
0,"[0, 647, 648, 651, 0]",40,6598.025
0,"[0, 285, 330, 329, 320, 321, 322, 325, 300, 306, 308, 303, 324, 319, 0]",39,8521.627
0,"[0, 773, 772, 770, 809, 808, 804, 695, 0]",40,9106.648000000001
0,"[0, 558, 566, 565, 571, 0]",38,5646.123
0,"[0, 577, 578, 582, 583, 0]",40,5488.830000000001
0,"[0, 703, 700, 702, 771, 704, 0]",40,5600.713000000002
0,"[0, 444, 359, 357, 356, 358, 431, 0]",40,6123.365
0,"[0, 562, 556, 581, 584, 0]",38,5576.014999999999
0,"[0, 116, 118, 114, 2, 1, 4, 115, 15, 88, 0]",40,6038.751000000001
0,"[0, 350, 341, 342, 340, 339, 0]",36,5932.476000000001
0,"[0, 25, 14, 11, 10, 9, 7, 12, 13, 23, 31, 32, 0]",40,5919.460000000001
0,"[0, 638, 642, 643, 645, 0]",39,5508.541000000001
0,"[0, 591, 554, 589, 553, 0]",37,4806.082
0,"[0, 599, 588, 587, 586, 585, 0]",39,5238.365000000001
0,"[0, 338, 283, 282, 287, 284, 278, 277, 337, 0]",39,5866.589
0,"[0, 33, 24, 27, 37, 0]",38,4680.876
0,"[0, 262, 275, 276, 279, 280, 281, 370, 0]",39,5822.624000000001
0,"[0, 649, 650, 461, 570, 452, 488, 0]",39,9096.197
0,"[0, 26, 36, 43, 0]",40,4507.146000000001
0,"[0, 776, 785, 784, 791, 792, 0]",39,4835.169
0,"[0, 423, 349, 352, 354, 344, 343, 0]",36,6044.643
0,"[0, 22, 19, 42, 0]",37,4641.101
0,"[0, 129, 142, 119, 3, 5, 6, 8, 0]",40,7599.97
0,"[0, 712, 710, 708, 722, 0]",39,5284.051
0,"[0, 250, 271, 273, 371, 368, 364, 0]",40,4396.849999999999
0,"[0, 766, 765, 764, 775, 774, 767, 768, 0]",37,5203.938
0,"[0, 686, 769, 0]",39,3921.2219999999998
0,"[0, 439, 440, 355, 353, 351, 437, 0]",40,5379.1269999999995
0,"[0, 796, 698, 799, 707, 0]",40,5673.094000000001
0,"[0, 56, 39, 28, 29, 34, 44, 0]",37,4496.75
0,"[0, 430, 433, 434, 435, 424, 428, 0]",39,5623.463
0,"[0, 540, 542, 543, 0]",39,4011.8509999999997
0,"[0, 748, 778, 777, 779, 780, 0]",39,4631.2119999999995
0,"[0, 624, 633, 636, 604, 0]",38,4100.910999999999
0,"[0, 786, 711, 725, 0]",40,4483.3910000000005
0,"[0, 547, 549, 482, 0]",39,4422.911
0,"[0, 362, 366, 367, 346, 347, 0]",40,4724.995999999999
0,"[0, 484, 451, 455, 457, 460, 458, 459, 456, 485, 0]",38,5124.064
0,"[0, 463, 453, 567, 564, 563, 0]",40,5125.289999999999
0,"[0, 538, 539, 608, 0]",36,3585.859
0,"[0, 606, 594, 596, 603, 0]",37,4062.1200000000003
0,"[0, 685, 683, 684, 0]",32,4121.253
0,"[0, 65, 38, 41, 63, 0]",39,4251.051
0,"[0, 762, 153, 148, 763, 0]",32,4121.7119999999995
0,"[0, 58, 45, 55, 54, 0]",36,3670.2500000000005
0,"[0, 256, 263, 258, 259, 261, 274, 257, 254, 0]",38,5310.886
0,"[0, 677, 678, 692, 693, 0]",38,3701.639
0,"[0, 83, 92, 0]",36,3458.5069999999996
0,"[0, 465, 360, 336, 442, 334, 327, 335, 412, 0]",40,6678.662
0,"[0, 640, 639, 641, 622, 0]",39,4923.407999999999
0,"[0, 429, 432, 443, 449, 466, 0]",39,7261.628000000001
0,"[0, 236, 267, 268, 270, 363, 0]",36,4213.617
0,"[0, 237, 243, 244, 249, 272, 269, 266, 0]",40,4118.806
0,"[0, 753, 749, 750, 751, 0]",37,3576.0190000000002
0,"[0, 727, 783, 789, 0]",37,4422.8189999999995
0,"[0, 733, 709, 716, 0]",40,4613.385
0,"[0, 747, 754, 793, 800, 0]",35,4347.032
0,"[0, 794, 781, 782, 790, 736, 0]",37,4951.241
0,"[0, 615, 572, 574, 573, 580, 0]",40,5964.447999999999
