,Route,Load,distance
0,"[0, 567, 459, 434, 360, 357, 356, 358, 353, 349, 352, 342, 340, 339, 410, 429, 355, 344, 287, 286, 328, 331, 333, 335, 445, 446, 336, 442, 323, 334, 327, 332, 330, 329, 320, 321, 322, 311, 298, 297, 326, 324, 319, 276, 275, 407, 403, 388, 382, 401, 425, 418, 422, 411, 0]",298.0,32193.26999999999
0,"[0, 186, 58, 55, 57, 53, 59, 60, 45, 40, 56, 30, 46, 47, 48, 49, 50, 51, 52, 264, 236, 266, 254, 255, 235, 243, 244, 249, 272, 273, 262, 367, 348, 350, 341, 346, 347, 345, 472, 0]",300.0,25511.12800000001
0,"[0, 112, 105, 98, 149, 152, 158, 162, 103, 102, 100, 160, 99, 95, 101, 92, 93, 94, 147, 97, 104, 106, 81, 82, 109, 110, 185, 108, 184, 183, 170, 203, 204, 207, 192, 0]",298.0,25143.467999999993
0,"[0, 672, 167, 163, 168, 169, 161, 113, 96, 85, 91, 90, 146, 140, 141, 134, 130, 133, 138, 137, 132, 139, 145, 762, 153, 763, 148, 154, 155, 156, 150, 151, 159, 107, 111, 182, 172, 0]",300.0,24629.928
0,"[0, 714, 717, 724, 725, 719, 734, 723, 680, 674, 679, 664, 681, 677, 673, 682, 670, 164, 165, 166, 171, 173, 175, 174, 180, 178, 179, 671, 668, 666, 667, 675, 676, 735, 732, 729, 0]",298.0,21328.237999999998
0,"[0, 501, 73, 38, 34, 29, 39, 28, 26, 36, 37, 43, 89, 22, 35, 42, 16, 17, 20, 18, 21, 19, 25, 14, 11, 10, 9, 12, 7, 13, 23, 31, 32, 33, 24, 27, 41, 63, 78, 191, 0]",300.0,26970.529
0,"[0, 502, 217, 216, 79, 80, 77, 86, 87, 84, 83, 119, 15, 88, 144, 143, 142, 128, 117, 126, 121, 135, 122, 124, 129, 136, 131, 120, 123, 125, 127, 116, 118, 114, 2, 1, 4, 115, 3, 5, 6, 8, 256, 257, 260, 263, 258, 259, 261, 274, 369, 0]",299.0,30569.568999999992
0,"[0, 508, 176, 187, 181, 188, 189, 190, 208, 222, 210, 374, 380, 396, 383, 402, 406, 405, 408, 404, 400, 398, 391, 393, 489, 201, 490, 202, 491, 0]",300.0,21627.072
0,"[0, 811, 697, 810, 694, 770, 772, 773, 775, 764, 765, 766, 685, 767, 686, 768, 769, 687, 688, 157, 690, 689, 684, 683, 693, 678, 692, 691, 722, 720, 733, 730, 715, 0]",299.0,21652.227000000006
0,"[0, 509, 177, 193, 194, 198, 199, 493, 499, 492, 196, 390, 214, 209, 213, 220, 223, 211, 375, 381, 384, 395, 399, 392, 500, 394, 497, 397, 469, 474, 494, 495, 496, 498, 467, 470, 468, 473, 529, 507, 522, 506, 513, 0]",300.0,22283.433000000008
0,"[0, 519, 389, 373, 377, 230, 245, 378, 240, 247, 252, 387, 253, 251, 250, 271, 269, 338, 439, 440, 430, 433, 431, 432, 359, 354, 343, 54, 61, 72, 62, 69, 71, 66, 64, 44, 65, 67, 70, 233, 227, 238, 231, 246, 219, 218, 205, 206, 0]",299.0,28726.269999999997
0,"[0, 638, 639, 644, 645, 648, 579, 586, 646, 647, 649, 650, 573, 572, 580, 582, 584, 578, 577, 583, 587, 588, 598, 599, 595, 596, 594, 603, 605, 0]",293.0,20086.346
0,"[0, 571, 565, 566, 581, 558, 556, 560, 555, 559, 561, 552, 549, 541, 544, 546, 547, 592, 608, 606, 602, 0]",193.0,19249.970999999998
0,"[0, 629, 517, 511, 510, 197, 200, 195, 212, 215, 372, 221, 224, 232, 75, 68, 76, 74, 226, 225, 234, 228, 239, 376, 229, 242, 265, 237, 267, 268, 270, 371, 370, 426, 428, 424, 423, 351, 366, 409, 471, 475, 479, 0]",300.0,25627.347
0,"[0, 461, 570, 436, 316, 444, 447, 449, 318, 315, 314, 309, 313, 310, 304, 307, 305, 292, 291, 290, 301, 302, 289, 288, 296, 280, 278, 281, 337, 368, 363, 364, 379, 241, 248, 385, 386, 362, 413, 419, 421, 438, 420, 437, 415, 414, 417, 476, 530, 527, 612, 0]",272.0,29826.873999999996
0,"[0, 576, 568, 460, 458, 361, 435, 317, 448, 450, 443, 312, 441, 299, 300, 306, 308, 303, 293, 294, 295, 325, 284, 282, 283, 285, 279, 277, 365, 416, 427, 412, 462, 477, 478, 536, 535, 533, 531, 600, 615, 0]",240.0,28166.098999999995
0,"[0, 797, 711, 707, 699, 708, 698, 799, 801, 695, 696, 771, 701, 704, 703, 700, 702, 709, 716, 706, 774, 705, 718, 721, 713, 712, 710, 798, 794, 781, 782, 0]",291.0,21577.849000000006
0,"[0, 651, 575, 569, 457, 455, 451, 485, 484, 463, 480, 545, 537, 534, 532, 523, 524, 528, 512, 504, 505, 503, 520, 514, 515, 516, 518, 625, 628, 630, 632, 0]",290.0,21888.001000000004
0,"[0, 637, 640, 641, 642, 643, 585, 597, 593, 609, 635, 634, 636, 604, 619, 621, 620, 618, 616, 631, 521, 525, 526, 613, 617, 610, 614, 611, 622, 623, 624, 0]",281.0,19408.822999999997
0,"[0, 785, 784, 791, 783, 788, 795, 786, 806, 802, 803, 805, 804, 807, 808, 809, 0]",159.0,21254.948000000004
0,"[0, 652, 574, 564, 563, 557, 453, 454, 456, 452, 488, 481, 464, 465, 466, 482, 483, 486, 487, 551, 553, 562, 589, 554, 591, 550, 590, 548, 543, 542, 540, 539, 538, 607, 601, 633, 0]",300.0,21755.103000000003
0,"[0, 761, 627, 654, 626, 660, 661, 655, 658, 659, 665, 669, 656, 657, 663, 653, 662, 746, 740, 739, 736, 737, 738, 741, 750, 752, 748, 749, 778, 777, 779, 0]",269.0,18673.032
0,"[0, 780, 776, 790, 789, 728, 747, 754, 793, 751, 756, 757, 800, 792, 796, 787, 726, 727, 755, 731, 745, 744, 743, 742, 753, 758, 760, 759, 0]",238.0,21033.671000000002
