,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,geometry,lon,lat
0,"Block 2000, Block Group 2, Census Tract 39, Kings County, New York",467,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470039002000,0,POINT (-73.9818963771543 40.68538738264621),-73.9818963771543,40.68538738264621
1,"Block 1000, Block Group 1, Census Tract 1, Kings County, New York",25,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001000,1,POINT (-73.99413859995671 40.70247439268395),-73.99413859995671,40.702474392683946
2,"Block 1001, Block Group 1, Census Tract 1, Kings County, New York",36,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001001,1,POINT (-73.99461527000923 40.70261488193135),-73.99461527000923,40.70261488193135
3,"Block 1004, Block Group 1, Census Tract 1, Kings County, New York",14,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001004,1,POINT (-73.99340112808582 40.70128292945476),-73.99340112808582,40.701282929454756
4,"Block 1005, Block Group 1, Census Tract 1, Kings County, New York",182,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001005,4,POINT (-73.9934679333486 40.70221089237134),-73.9934679333486,40.70221089237134
5,"Block 1006, Block Group 1, Census Tract 1, Kings County, New York",17,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001006,1,POINT (-73.99551917724347 40.70083095885801),-73.99551917724347,40.70083095885801
6,"Block 1007, Block Group 1, Census Tract 1, Kings County, New York",271,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001007,6,POINT (-73.99610009379832 40.70118678558618),-73.99610009379832,40.70118678558618
7,"Block 1008, Block Group 1, Census Tract 1, Kings County, New York",19,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001008,1,POINT (-73.99594435000481 40.69980194780022),-73.9959443500048,40.69980194780022
8,"Block 1009, Block Group 1, Census Tract 1, Kings County, New York",112,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001009,3,POINT (-73.99483772245401 40.7004352880883),-73.99483772245401,40.7004352880883
9,"Block 1010, Block Group 1, Census Tract 1, Kings County, New York",111,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001010,3,POINT (-73.9939447193496 40.70027891208395),-73.9939447193496,40.700278912083945
10,"Block 1011, Block Group 1, Census Tract 1, Kings County, New York",117,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001011,3,POINT (-73.99366454019915 40.70086773608167),-73.99366454019915,40.70086773608167
11,"Block 2000, Block Group 2, Census Tract 1, Kings County, New York",187,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002000,4,POINT (-73.9942540181725 40.69962835684807),-73.9942540181725,40.69962835684807
12,"Block 2001, Block Group 2, Census Tract 1, Kings County, New York",166,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002001,4,POINT (-73.99508902173122 40.69990537798174),-73.99508902173122,40.69990537798174
13,"Block 2002, Block Group 2, Census Tract 1, Kings County, New York",223,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002002,5,POINT (-73.99541778598814 40.69921420513873),-73.99541778598814,40.69921420513873
14,"Block 2003, Block Group 2, Census Tract 1, Kings County, New York",128,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002003,3,POINT (-73.99456266217612 40.69898017933546),-73.99456266217612,40.69898017933546
15,"Block 3001, Block Group 3, Census Tract 1, Kings County, New York",255,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003001,6,POINT (-73.99229479426299 40.70130615286183),-73.99229479426299,40.701306152861825
16,"Block 3002, Block Group 3, Census Tract 1, Kings County, New York",174,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003002,4,POINT (-73.99240717537631 40.70058826562893),-73.99240717537631,40.70058826562893
17,"Block 3003, Block Group 3, Census Tract 1, Kings County, New York",227,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003003,5,POINT (-73.99271562608837 40.69994366294122),-73.99271562608837,40.699943662941216
18,"Block 3004, Block Group 3, Census Tract 1, Kings County, New York",218,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003004,5,POINT (-73.99302838953716 40.69929046901503),-73.99302838953716,40.699290469015025
19,"Block 3005, Block Group 3, Census Tract 1, Kings County, New York",614,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003005,13,POINT (-73.99334212265217 40.69864103827401),-73.99334212265217,40.69864103827401
20,"Block 4000, Block Group 4, Census Tract 1, Kings County, New York",474,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004000,11,POINT (-73.99120409527535 40.70040852381619),-73.99120409527535,40.70040852381619
21,"Block 4001, Block Group 4, Census Tract 1, Kings County, New York",525,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004001,12,POINT (-73.99184691830021 40.69889448219288),-73.99184691830021,40.69889448219288
22,"Block 4002, Block Group 4, Census Tract 1, Kings County, New York",521,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004002,12,POINT (-73.99217611107598 40.69762167869477),-73.99217611107598,40.69762167869477
23,"Block 1000, Block Group 1, Census Tract 3.01, Kings County, New York",207,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003011000,5,POINT (-73.99572587053055 40.69856620006948),-73.99572587053055,40.69856620006948
24,"Block 1001, Block Group 1, Census Tract 3.01, Kings County, New York",680,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003011001,15,POINT (-73.99635556872414 40.69724539736472),-73.99635556872414,40.69724539736472
25,"Block 2000, Block Group 2, Census Tract 3.01, Kings County, New York",111,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003012000,3,POINT (-73.99487495757728 40.69832788062966),-73.99487495757728,40.698327880629655
26,"Block 2001, Block Group 2, Census Tract 3.01, Kings County, New York",736,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003012001,16,POINT (-73.99544820771303 40.6971336979724),-73.99544820771303,40.6971336979724
27,"Block 3000, Block Group 3, Census Tract 3.01, Kings County, New York",444,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003013000,10,POINT (-73.99646505919003 40.69576833098487),-73.99646505919003,40.69576833098487
28,"Block 3001, Block Group 3, Census Tract 3.01, Kings County, New York",413,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003013001,9,POINT (-73.99677711211424 40.69510180721477),-73.99677711211424,40.69510180721477
