,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
0,192,"Block 1002, Block Group 1, Census Tract 39, Kings County, New York",575,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470039001002,0,-73.98146617380027,40.68602237003382,"(40.68602237003382,-73.98146617380027)",42466290,-73.980702,40.685324,POINT (-73.98070199999999 40.685324)
1,0,"Block 1000, Block Group 1, Census Tract 1, Kings County, New York",25,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001000,1,-73.99413859995671,40.70247439268394,"(40.70247439268394,-73.99413859995671)",3174844149,-73.9938376,40.7026151,POINT (-73.99383760000001 40.7026151)
2,1,"Block 1001, Block Group 1, Census Tract 1, Kings County, New York",36,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001001,1,-73.99461527000922,40.70261488193135,"(40.70261488193135,-73.99461527000922)",3174844141,-73.9944211,40.7028301,POINT (-73.9944211 40.7028301)
3,2,"Block 1004, Block Group 1, Census Tract 1, Kings County, New York",14,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001004,1,-73.99340112808582,40.70128292945475,"(40.70128292945475,-73.99340112808582)",6720148786,-73.9933667,40.7015716,POINT (-73.9933667 40.7015716)
4,3,"Block 1005, Block Group 1, Census Tract 1, Kings County, New York",182,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001005,4,-73.9934679333486,40.70221089237134,"(40.70221089237134,-73.9934679333486)",3174844145,-73.9932999,40.7024085,POINT (-73.9932999 40.7024085)
5,4,"Block 1006, Block Group 1, Census Tract 1, Kings County, New York",17,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001006,1,-73.99551917724347,40.70083095885802,"(40.70083095885802,-73.99551917724347)",451019469,-73.9951562,40.7007242,POINT (-73.9951562 40.7007242)
6,5,"Block 1007, Block Group 1, Census Tract 1, Kings County, New York",271,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001007,6,-73.9961000937983,40.70118678558618,"(40.70118678558618,-73.9961000937983)",451019469,-73.9951562,40.7007242,POINT (-73.9951562 40.7007242)
7,6,"Block 1008, Block Group 1, Census Tract 1, Kings County, New York",19,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001008,1,-73.9959443500048,40.699801947800225,"(40.699801947800225,-73.9959443500048)",42517908,-73.9956954,40.6996601,POINT (-73.9956954 40.6996601)
8,7,"Block 1009, Block Group 1, Census Tract 1, Kings County, New York",112,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001009,3,-73.99483772245401,40.7004352880883,"(40.7004352880883,-73.99483772245401)",451019469,-73.9951562,40.7007242,POINT (-73.9951562 40.7007242)
9,8,"Block 1010, Block Group 1, Census Tract 1, Kings County, New York",111,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001010,3,-73.9939447193496,40.70027891208394,"(40.70027891208394,-73.9939447193496)",42502400,-73.9942335,40.700714,POINT (-73.99423350000001 40.700714)
10,9,"Block 1011, Block Group 1, Census Tract 1, Kings County, New York",117,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001001011,3,-73.99366454019915,40.70086773608167,"(40.70086773608167,-73.99366454019915)",42483453,-73.9933589,40.7004856,POINT (-73.9933589 40.7004856)
11,10,"Block 2000, Block Group 2, Census Tract 1, Kings County, New York",187,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002000,4,-73.9942540181725,40.69962835684808,"(40.69962835684808,-73.9942540181725)",42483455,-73.9936701,40.6998347,POINT (-73.9936701 40.6998347)
12,11,"Block 2001, Block Group 2, Census Tract 1, Kings County, New York",166,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002001,4,-73.99508902173122,40.699905377981736,"(40.699905377981736,-73.99508902173122)",42513257,-73.9945372,40.7000754,POINT (-73.9945372 40.7000754)
13,12,"Block 2002, Block Group 2, Census Tract 1, Kings County, New York",223,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002002,5,-73.99541778598814,40.69921420513873,"(40.69921420513873,-73.99541778598814)",42513259,-73.9948465,40.6994249,POINT (-73.99484649999999 40.6994249)
14,13,"Block 2003, Block Group 2, Census Tract 1, Kings County, New York",128,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001002003,3,-73.99456266217612,40.69898017933545,"(40.69898017933545,-73.99456266217612)",42483461,-73.9939808,40.6991851,POINT (-73.9939808 40.6991851)
15,14,"Block 3001, Block Group 3, Census Tract 1, Kings County, New York",255,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003001,6,-73.99229479426299,40.70130615286181,"(40.70130615286181,-73.99229479426299)",465132522,-73.9920171,40.7015529,POINT (-73.9920171 40.7015529)
16,15,"Block 3002, Block Group 3, Census Tract 1, Kings County, New York",174,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003002,4,-73.99240717537631,40.70058826562892,"(40.70058826562892,-73.99240717537631)",42502401,-73.9917594,40.7000511,POINT (-73.99175940000001 40.7000511)
17,16,"Block 3003, Block Group 3, Census Tract 1, Kings County, New York",227,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003003,5,-73.99271562608837,40.69994366294122,"(40.69994366294122,-73.99271562608837)",42483453,-73.9933589,40.7004856,POINT (-73.9933589 40.7004856)
18,17,"Block 3004, Block Group 3, Census Tract 1, Kings County, New York",218,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003004,5,-73.99302838953716,40.699290469015025,"(40.699290469015025,-73.99302838953716)",42517910,-73.992392,40.698745,POINT (-73.992392 40.698745)
19,18,"Block 3005, Block Group 3, Census Tract 1, Kings County, New York",614,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003005,13,-73.99334212265217,40.69864103827402,"(40.69864103827402,-73.99334212265217)",42483640,-73.99271,40.698097,POINT (-73.99271 40.698097)
20,19,"Block 4000, Block Group 4, Census Tract 1, Kings County, New York",474,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004000,11,-73.99120409527535,40.70040852381619,"(40.70040852381619,-73.99120409527535)",42498552,-73.991454,40.700691,POINT (-73.991454 40.700691)
